2022/12:  1 orders
2022/10:  324 orders
2022/9:  4 orders
2023/12:  5673 orders
2023/11:  7544 orders
2023/10:  4631 orders
2023/9:  4285 orders
2023/8:  4331 orders
2023/7:  4026 orders
2023/6:  3245 orders
2023/5:  3700 orders
2023/4:  2404 orders
2023/3:  2682 orders
2023/2:  1780 orders
2023/1:  800 orders
2024/10:  4 orders
2024/9:  16 orders
2024/8:  6512 orders
2024/7:  6292 orders
2024/6:  6167 orders
2024/5:  6873 orders
2024/4:  6939 orders
2024/3:  7211 orders
2024/2:  6728 orders
2024/1:  7269 orders
